"time","BANE.CLOSE","SIBN.CLOSE","LKOH.CLOSE","ROSN.CLOSE","SNGS.CLOSE","TATN.CLOSE","IMOEX.CLOSE","MOEXOG.CLOSE"
2017-06-23,2637,184.9,2775,322,25.71,371.85,1867.46,4674.92
2017-06-26,2542,182.85,2767,321,25.115,370,1860.39,4647.92
2017-06-27,2487,184.85,2800,327.3,25.76,372.25,1878.94,4702.41
2017-06-28,2425,183.9,2874.5,332.4,25.965,380.9,1891.98,4752.18
2017-06-29,2489,183.45,2873,333,25.78,378.85,1881.04,4749.97
2017-06-30,2468,181.15,2872.5,323,25.67,375.6,1879.5,4715.43
2017-07-03,2458,181.1,2920,329.4,26.18,389.15,1902.59,4794.32
2017-07-04,2455,182.25,2933,332.4,26.55,383.4,1917.4,4822.5
2017-07-05,2458,183.3,2951.5,327.2,26.705,388.5,1921.38,4818.74
2017-07-06,2445,186.3,2985,324.5,26.735,370.95,1923.22,4780.83
2017-07-07,2475,187.2,2856,317.8,26.4,369.1,1912.48,4728.4
2017-07-10,2488,186.7,2859,320.5,26.22,365.5,1925.74,4742.97
2017-07-11,2500,187.6,2875,319.6,26.4,367.05,1937.64,4788.3
2017-07-12,2512,190.65,2914.5,320.55,26.755,374,1954.39,4810.21
2017-07-13,2435,186.3,2908.5,318,27.05,377.8,1959.91,4823.32
2017-07-14,2485,189.95,2923,318,26.67,378,1960.69,4800.37
2017-07-17,2443,190.9,2880,315.9,26.85,377.3,1959.11,4787.19
2017-07-18,2434,191.75,2840,315.1,26.41,371.75,1947.71,4743.08
2017-07-19,2428,194.5,2896,318.5,26.93,386.5,1951.89,4780.72
2017-07-20,2488,198,2896,317.85,26.7,386.7,1946.51,4778.71
2017-07-21,2438,197.15,2842,317.4,26.465,385.1,1925.13,4738.17
2017-07-24,2469,193.55,2826.5,313.3,26.92,386.75,1931.75,4752.32
2017-07-25,2361,194.3,2835,314.15,26.49,380.2,1923.73,4715.73
2017-07-26,2324,197.45,2833,310,26.42,389.8,1933.1,4720.99
2017-07-27,2326,198.1,2851.5,310,26.3,388.1,1945.12,4722.87
2017-07-28,2313,197.55,2794,305.9,26.15,379,1916.75,4650.43
2017-07-31,2265,199.6,2797.5,311.3,26.62,390.1,1919.53,4703.35
2017-08-01,2308,202.4,2864.5,316.1,27.57,389.8,1940.14,4766.53
2017-08-02,2262,203.5,2938,322,27.56,392,1965.48,4812.74
2017-08-03,2260,203.15,2930,317,27.62,392.6,1965.29,4800.78
2017-08-04,2220,203,2903,316,27.07,382.95,1953.49,4757.02
2017-08-07,2197,206,2917.5,316.25,27.2,387,1970.37,4787.08
